spotify_artists_name_0,spotify_artists_name_1,spotify_artists_name_2,spotify_artist_id_0,spotify_artist_id_1,spotify_artist_id_2,song_name,spotify_track_id,album_name,http_status_code,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,popularity_track,popularity_artist,album_release_date,total_tracks,duration_min,BPM,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,time_signature_confidence,end_of_fade_in,start_of_fade_out,tempo_confidence,mode_confidence,key_confidence,beat_start,beat_duration,beat_confidence,beats_length,tatum_start,tatum_duration,tatum_confidence,tatum_length,bars_start,bars_duration,bars_confidence,bars_length
Jedi Mind Tricks,NA,NA,0PI3pXpUMScjweiw3IbADc,NA,NA,Burning the Mirror,3EaP8dlW8LY0w2XBYyBnnR,Violence Begets Violence,200200,conscious hip hop,hardcore hip hop,philly rap,political hip hop,NA,NA,NA,NA,NA,NA,26,51,10/25/2011,14,3.55,78.618,0.267,0.93,-5.185,0,0.394,0.00354,0.482,0.346,0.264,4,1,0.25605,200.19664,0.385,0.31,0.156,104.5083521,0.76936808,0.305235507,276,104.7648082,0.385192246,0.305235507,552,102.751357,3.110322836,0.494268657,67
T.I.,NA,NA,4OBJLual30L7gRl5UkeRcT,NA,NA,Love This Life,5LgZ6LO51mTdc7OVtLE9tq,11 Months and One Day,200200,atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,NA,18,73,10/23/2012,10,3.866666667,173.765,0.437,0.691,-6.377,1,0.292,0.438,0,0.139,0.401,4,0.901,0,232.62666,0.175,0.376,0.211,115.9955272,0.345900582,0.360774627,670,116.0820023,0.17295009,0.360774627,1340,114.4463889,1.367261716,0.515183432,169
Tove Lo,LIOHN,NA,4NHQUGzhtTLFvgF5SZesLK,44HW6eRUCYQKCCuUYoc5CQ,NA,True Disaster - LIOHN Remix,6XQCfpuRDEoIooAHM4i9yx,True Disaster (The Remixes),200200,dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop,uk pop,NA,NA,29,76,01/27/2017,4,2.4,193.889,0.499,0.714,-7.169,0,0.416,0.267,0,0.0884,0.447,4,0.954,0,141.47919,0.249,0.882,0.794,71.65814504,0.309871472,0.359374459,462,71.73561295,0.154935866,0.359374459,924,70.69015325,1.215321111,0.492623932,117
Tove Lo,LIOHN,NA,4NHQUGzhtTLFvgF5SZesLK,44HW6eRUCYQKCCuUYoc5CQ,NA,True Disaster - LIOHN Remix,6XQCfpuRDEoIooAHM4i9yx,True Disaster (The Remixes),200200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,31,01/27/2017,4,2.4,193.889,0.499,0.714,-7.169,0,0.416,0.267,0,0.0884,0.447,4,0.954,0,141.47919,0.249,0.882,0.794,71.65814504,0.309871472,0.359374459,462,71.73561295,0.154935866,0.359374459,924,70.69015325,1.215321111,0.492623932,117
Scorpions,NA,NA,27T030eWyCQRmDyuvr1kxY,NA,NA,Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,Crazy World,200200,album rock,german hard rock,german metal,german rock,hard rock,metal,rock,NA,NA,NA,69,71,01/01/1990,11,4.55,80.87,0.153,0.417,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,3,1,0,256.40634,0.092,0.616,0.32,125.5080582,0.654381864,0.209232446,413,125.7261855,0.327496308,0.209232446,826,124.3854535,1.961297153,0.393547445,137
Testament,NA,NA,28hJdGN1Awf7u3ifk2lVkg,NA,NA,Return to Serenity,5awljpWNO5TpXCyjpvCBbs,The Ritual,200200,alternative metal,death metal,groove metal,hard rock,metal,old school thrash,rock,thrash metal,NA,NA,52,55,04/28/1992,11,6.5,112.385,0.294,0.613,-10.527,1,0.0384,0.235,0.000494,0.139,0.228,3,0.084,0.47179,385.11456,0.207,0.748,0.816,185.2086705,0.553498873,0.312499287,701,185.3931706,0.276920528,0.312499287,1402,185.3512951,1.649755812,0.489876068,234
Scorpions,NA,NA,27T030eWyCQRmDyuvr1kxY,NA,NA,Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,Crazy World,200200,album rock,german hard rock,german metal,german rock,hard rock,metal,rock,NA,NA,NA,69,71,01/01/1990,11,4.55,80.87,0.153,0.417,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,3,1,0,256.40634,0.092,0.616,0.32,125.5080582,0.654381864,0.209232446,413,125.7261855,0.327496308,0.209232446,826,124.3854535,1.961297153,0.393547445,137
Testament,NA,NA,28hJdGN1Awf7u3ifk2lVkg,NA,NA,Return to Serenity,5awljpWNO5TpXCyjpvCBbs,The Ritual,200200,alternative metal,death metal,groove metal,hard rock,metal,old school thrash,rock,thrash metal,NA,NA,52,55,04/28/1992,11,6.5,112.385,0.294,0.613,-10.527,1,0.0384,0.235,0.000494,0.139,0.228,3,0.084,0.47179,385.11456,0.207,0.748,0.816,185.2086705,0.553498873,0.312499287,701,185.3931706,0.276920528,0.312499287,1402,185.3512951,1.649755812,0.489876068,234
Scorpions,NA,NA,27T030eWyCQRmDyuvr1kxY,NA,NA,Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,Crazy World,200200,album rock,german hard rock,german metal,german rock,hard rock,metal,rock,NA,NA,NA,69,71,01/01/1990,11,4.55,80.87,0.153,0.417,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,3,1,0,256.40634,0.092,0.616,0.32,125.5080582,0.654381864,0.209232446,413,125.7261855,0.327496308,0.209232446,826,124.3854535,1.961297153,0.393547445,137
Testament,NA,NA,28hJdGN1Awf7u3ifk2lVkg,NA,NA,Return to Serenity,5awljpWNO5TpXCyjpvCBbs,The Ritual,200200,alternative metal,death metal,groove metal,hard rock,metal,old school thrash,rock,thrash metal,NA,NA,52,55,04/28/1992,11,6.5,112.385,0.294,0.613,-10.527,1,0.0384,0.235,0.000494,0.139,0.228,3,0.084,0.47179,385.11456,0.207,0.748,0.816,185.2086705,0.553498873,0.312499287,701,185.3931706,0.276920528,0.312499287,1402,185.3512951,1.649755812,0.489876068,234
